DATE,M3SL
1967-04-01,522.6
1967-05-01,527.7
1967-06-01,533.1
1967-07-01,537.7
1967-08-01,542.5
1967-09-01,546.8
1967-10-01,550.2
1967-11-01,553.9
1967-12-01,557.9
1968-01-01,560.4
1968-02-01,563.6
1968-03-01,567.0
1968-04-01,569.2
1968-05-01,572.3
1968-06-01,575.9
1968-07-01,580.6
1968-08-01,585.6
1968-09-01,590.6
1968-10-01,595.8
1968-11-01,601.7
1968-12-01,607.2
1969-01-01,607.9
1969-02-01,609.1
1969-03-01,610.8
1969-04-01,611.5
1969-05-01,611.6
1969-06-01,612.1
1969-07-01,610.1
1969-08-01,607.7
1969-09-01,608.5
1969-10-01,608.9
1969-11-01,613.5
1969-12-01,615.9
1970-01-01,616.1
1970-02-01,613.3
1970-03-01,615.7
1970-04-01,619.5
1970-05-01,624.3
1970-06-01,627.1
1970-07-01,635.7
1970-08-01,644.8
1970-09-01,654.4
1970-10-01,662.3
1970-11-01,669.3
1970-12-01,677.1
1971-01-01,685.5
1971-02-01,695.8
1971-03-01,706.5
1971-04-01,713.7
1971-05-01,723.3
1971-06-01,730.1
1971-07-01,738.3
1971-08-01,744.0
1971-09-01,751.7
1971-10-01,760.2
1971-11-01,768.3
1971-12-01,776.0
1972-01-01,783.8
1972-02-01,792.9
1972-03-01,800.6
1972-04-01,807.9
1972-05-01,816.1
1972-06-01,824.6
1972-07-01,835.5
1972-08-01,846.6
1972-09-01,856.4
1972-10-01,865.8
1972-11-01,875.8
1972-12-01,885.9
1973-01-01,896.3
1973-02-01,906.1
1973-03-01,915.0
1973-04-01,922.4
1973-05-01,932.3
1973-06-01,940.7
1973-07-01,950.3
1973-08-01,959.0
1973-09-01,965.8
1973-10-01,972.0
1973-11-01,977.3
1973-12-01,985.0
1974-01-01,993.9
1974-02-01,1002.4
1974-03-01,1010.7
1974-04-01,1020.8
1974-05-01,1029.2
1974-06-01,1037.8
1974-07-01,1043.9
1974-08-01,1048.6
1974-09-01,1052.9
1974-10-01,1058.5
1974-11-01,1063.7
1974-12-01,1069.9
1975-01-01,1075.5
1975-02-01,1082.7
1975-03-01,1090.0
1975-04-01,1095.8
1975-05-01,1105.9
1975-06-01,1118.7
1975-07-01,1128.7
1975-08-01,1135.1
1975-09-01,1145.9
1975-10-01,1153.8
1975-11-01,1163.8
1975-12-01,1170.2
1976-01-01,1181.6
1976-02-01,1193.5
1976-03-01,1204.6
1976-04-01,1216.7
1976-05-01,1227.6
1976-06-01,1236.1
1976-07-01,1245.9
1976-08-01,1259.2
1976-09-01,1268.2
1976-10-01,1280.8
1976-11-01,1294.5
1976-12-01,1309.9
1977-01-01,1322.5
1977-02-01,1335.5
1977-03-01,1348.4
1977-04-01,1360.6
1977-05-01,1374.0
1977-06-01,1387.6
1977-07-01,1400.4
1977-08-01,1415.2
1977-09-01,1428.0
1977-10-01,1441.8
1977-11-01,1457.1
1977-12-01,1470.4
1978-01-01,1486.3
1978-02-01,1498.1
1978-03-01,1513.0
1978-04-01,1528.6
1978-05-01,1544.3
1978-06-01,1555.4
1978-07-01,1567.0
1978-08-01,1583.2
1978-09-01,1597.2
1978-10-01,1611.1
1978-11-01,1630.2
1978-12-01,1644.5
1979-01-01,1656.8
1979-02-01,1669.2
1979-03-01,1683.2
1979-04-01,1700.8
1979-05-01,1711.0
1979-06-01,1728.1
1979-07-01,1743.3
1979-08-01,1761.6
1979-09-01,1783.1
1979-10-01,1796.7
1979-11-01,1798.9
1979-12-01,1808.7
1980-01-01,1823.0
1980-02-01,1841.7
1980-03-01,1850.2
1980-04-01,1854.2
1980-05-01,1867.0
1980-06-01,1884.4
1980-07-01,1903.2
1980-08-01,1920.8
1980-09-01,1935.2
1980-10-01,1953.6
1980-11-01,1975.3
1980-12-01,1995.5
1981-01-01,2020.6
1981-02-01,2039.5
1981-03-01,2058.1
1981-04-01,2086.4
1981-05-01,2102.7
1981-06-01,2118.4
1981-07-01,2137.9
1981-08-01,2157.1
1981-09-01,2179.4
1981-10-01,2204.7
1981-11-01,2226.7
1981-12-01,2254.5
1982-01-01,2275.7
1982-02-01,2284.4
1982-03-01,2303.0
1982-04-01,2328.5
1982-05-01,2343.1
1982-06-01,2359.7
1982-07-01,2372.2
1982-08-01,2396.6
1982-09-01,2413.0
1982-10-01,2435.0
1982-11-01,2447.4
1982-12-01,2460.6
1983-01-01,2488.9
1983-02-01,2517.8
1983-03-01,2534.1
1983-04-01,2553.9
1983-05-01,2569.5
1983-06-01,2585.0
1983-07-01,2596.0
1983-08-01,2609.8
1983-09-01,2626.3
1983-10-01,2646.1
1983-11-01,2673.9
1983-12-01,2697.4
1984-01-01,2714.9
1984-02-01,2742.6
1984-03-01,2771.9
1984-04-01,2801.2
1984-05-01,2828.4
1984-06-01,2850.2
1984-07-01,2871.8
1984-08-01,2886.0
1984-09-01,2904.7
1984-10-01,2930.2
1984-11-01,2957.9
1984-12-01,2990.6
1985-01-01,3018.0
1985-02-01,3040.7
1985-03-01,3056.6
1985-04-01,3062.5
1985-05-01,3078.8
1985-06-01,3103.6
1985-07-01,3112.7
1985-08-01,3131.4
1985-09-01,3149.7
1985-10-01,3167.1
1985-11-01,3182.3
1985-12-01,3208.1
1986-01-01,3232.8
1986-02-01,3250.7
1986-03-01,3277.2
1986-04-01,3307.7
1986-05-01,3331.0
1986-06-01,3353.0
1986-07-01,3381.9
1986-08-01,3407.8
1986-09-01,3435.3
1986-10-01,3455.6
1986-11-01,3467.1
1986-12-01,3499.1
1987-01-01,3524.7
1987-02-01,3534.3
1987-03-01,3542.6
1987-04-01,3562.7
1987-05-01,3578.2
1987-06-01,3593.4
1987-07-01,3599.2
1987-08-01,3620.1
1987-09-01,3642.5
1987-10-01,3667.9
1987-11-01,3681.5
1987-12-01,3686.5
1988-01-01,3709.1
1988-02-01,3737.2
1988-03-01,3762.1
1988-04-01,3788.5
1988-05-01,3814.6
1988-06-01,3834.2
1988-07-01,3850.3
1988-08-01,3864.5
1988-09-01,3876.3
1988-10-01,3890.1
1988-11-01,3909.0
1988-12-01,3928.8
1989-01-01,3937.0
1989-02-01,3940.8
1989-03-01,3961.5
1989-04-01,3970.8
1989-05-01,3974.9
1989-06-01,3995.2
1989-07-01,4017.4
1989-08-01,4027.5
1989-09-01,4035.2
1989-10-01,4047.5
1989-11-01,4063.1
1989-12-01,4077.1
1990-01-01,4089.2
1990-02-01,4095.6
1990-03-01,4098.3
1990-04-01,4105.8
1990-05-01,4107.8
1990-06-01,4115.1
1990-07-01,4127.8
1990-08-01,4144.2
1990-09-01,4151.5
1990-10-01,4155.9
1990-11-01,4151.8
1990-12-01,4154.7
1991-01-01,4177.2
1991-02-01,4193.9
1991-03-01,4201.5
1991-04-01,4209.0
1991-05-01,4208.4
1991-06-01,4209.2
1991-07-01,4202.5
1991-08-01,4197.1
1991-09-01,4191.2
1991-10-01,4195.4
1991-11-01,4201.2
1991-12-01,4210.3
1992-01-01,4215.8
1992-02-01,4236.2
1992-03-01,4238.4
1992-04-01,4226.1
1992-05-01,4220.5
1992-06-01,4218.7
1992-07-01,4218.9
1992-08-01,4227.1
1992-09-01,4235.7
1992-10-01,4234.9
1992-11-01,4230.8
1992-12-01,4222.6
1993-01-01,4204.5
1993-02-01,4207.7
1993-03-01,4211.1
1993-04-01,4212.6
1993-05-01,4241.9
1993-06-01,4242.1
1993-07-01,4238.9
1993-08-01,4240.4
1993-09-01,4249.6
1993-10-01,4256.5
1993-11-01,4275.3
1993-12-01,4285.6
1994-01-01,4282.4
1994-02-01,4268.7
1994-03-01,4279.6
1994-04-01,4290.4
1994-05-01,4300.8
1994-06-01,4297.3
1994-07-01,4318.3
1994-08-01,4319.7
1994-09-01,4329.4
1994-10-01,4339.7
1994-11-01,4355.4
1994-12-01,4369.8
1995-01-01,4393.7
1995-02-01,4396.5
1995-03-01,4415.7
1995-04-01,4436.5
1995-05-01,4476.0
1995-06-01,4514.6
1995-07-01,4540.2
1995-08-01,4575.5
1995-09-01,4596.4
1995-10-01,4613.6
1995-11-01,4624.4
1995-12-01,4636.3
1996-01-01,4670.3
1996-02-01,4700.6
1996-03-01,4734.7
1996-04-01,4753.0
1996-05-01,4788.1
1996-06-01,4811.0
1996-07-01,4837.4
1996-08-01,4857.3
1996-09-01,4885.4
1996-10-01,4925.6
1996-11-01,4946.3
1996-12-01,4985.5
1997-01-01,5013.0
1997-02-01,5045.3
1997-03-01,5079.8
1997-04-01,5120.7
1997-05-01,5146.8
1997-06-01,5176.9
1997-07-01,5235.2
1997-08-01,5291.5
1997-09-01,5333.7
1997-10-01,5376.2
1997-11-01,5417.2
1997-12-01,5460.9
1998-01-01,5508.6
1998-02-01,5545.5
1998-03-01,5610.7
1998-04-01,5647.1
1998-05-01,5687.0
1998-06-01,5728.4
1998-07-01,5749.6
1998-08-01,5814.7
1998-09-01,5883.9
1998-10-01,5953.6
1998-11-01,6010.3
1998-12-01,6051.9
1999-01-01,6080.9
1999-02-01,6134.1
1999-03-01,6132.3
1999-04-01,6172.7
1999-05-01,6200.4
1999-06-01,6237.5
1999-07-01,6268.7
1999-08-01,6299.2
1999-09-01,6323.0
1999-10-01,6378.4
1999-11-01,6465.0
1999-12-01,6551.5
2000-01-01,6605.5
2000-02-01,6642.2
2000-03-01,6704.0
2000-04-01,6767.3
2000-05-01,6776.9
2000-06-01,6823.6
2000-07-01,6875.2
2000-08-01,6945.0
2000-09-01,7003.5
2000-10-01,7027.0
2000-11-01,7038.3
2000-12-01,7117.6
2001-01-01,7237.2
2001-02-01,7308.5
2001-03-01,7372.0
2001-04-01,7507.8
2001-05-01,7564.1
2001-06-01,7644.7
2001-07-01,7691.9
2001-08-01,7696.3
2001-09-01,7853.2
2001-10-01,7897.8
2001-11-01,7973.0
2001-12-01,8035.4
2002-01-01,8063.9
2002-02-01,8109.3
2002-03-01,8117.3
2002-04-01,8142.6
2002-05-01,8175.1
2002-06-01,8190.8
2002-07-01,8244.2
2002-08-01,8298.1
2002-09-01,8331.5
2002-10-01,8368.9
2002-11-01,8498.8
2002-12-01,8568.0
2003-01-01,8588.1
2003-02-01,8628.7
2003-03-01,8648.8
2003-04-01,8686.0
2003-05-01,8741.9
2003-06-01,8791.6
2003-07-01,8888.7
2003-08-01,8918.2
2003-09-01,8906.5
2003-10-01,8896.8
2003-11-01,8880.3
2003-12-01,8872.3
2004-01-01,8930.2
2004-02-01,9000.3
2004-03-01,9080.7
2004-04-01,9149.6
2004-05-01,9243.8
2004-06-01,9275.7
2004-07-01,9282.7
2004-08-01,9314.4
2004-09-01,9351.8
2004-10-01,9359.4
2004-11-01,9395.1
2004-12-01,9433.0
2005-01-01,9487.2
2005-02-01,9531.6
2005-03-01,9565.3
2005-04-01,9620.9
2005-05-01,9665.0
2005-06-01,9725.3
2005-07-01,9762.4
2005-08-01,9864.6
2005-09-01,9950.8
2005-10-01,10032.0
2005-11-01,10078.5
2005-12-01,10154.0
2006-01-01,10242.8
2006-02-01,10298.7
